
python3 dots_array.py -M 3 -N 3 --vmin 0 --vmax 2 --vstep 0.01 --vr 0 --vg-avg 0 --vg-std 0 --c-avg 1 --c-std 0.4 --cg-avg 10 --cg-std 0 --r-avg 10 --r-std 6 --rg-avg 1000 --rg-std 0 --repeats 20 --n-avg 0 --n-std 0 --q-avg 0 --q-std 0 -T 0 --distribution exp --custom-rh "" --custom-rv "" --custom-ch "" --custom-cv "" --file-name c_std_0.4_r_std_6_run_4 -o 3X3_array_statistics_r_avg_10     --symmetric-v

Saving array parameters
Normal prototype array was created
Starting parallel run
Saving results
         106975 function calls (104054 primitive calls) in 933.546 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001  933.487  933.487 dots_array.py:1362(runFullSimulation)
       23    0.000    0.000  933.245   40.576 /usr/local/anaconda3/lib/python3.7/threading.py:534(wait)
        5    0.000    0.000  933.245  186.649 /usr/local/anaconda3/lib/python3.7/threading.py:264(wait)
       23  933.245   40.576  933.245   40.576 {method 'acquire' of '_thread.lock' objects}
       20    0.000    0.000  933.244   46.662 /usr/local/anaconda3/lib/python3.7/multiprocessing/pool.py:676(get)
       20    0.000    0.000  933.244   46.662 /usr/local/anaconda3/lib/python3.7/multiprocessing/pool.py:673(wait)
        1    0.000    0.000    0.081    0.081 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/pyplot.py:686(savefig)
        2    0.000    0.000    0.067    0.033 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/backends/backend_agg.py:392(draw)
    144/2    0.000    0.000    0.066    0.033 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/artist.py:42(draw_wrapper)
        2    0.000    0.000    0.066    0.033 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/figure.py:1615(draw)
      4/2    0.000    0.000    0.065    0.032 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/image.py:120(_draw_list_compositing_images)
        2    0.000    0.000    0.065    0.032 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axes/_base.py:2556(draw)
        1    0.000    0.000    0.061    0.061 /usr/local/anaconda3/lib/python3.7/multiprocessing/context.py:114(Pool)
        1    0.000    0.000    0.060    0.060 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/figure.py:1970(savefig)
        1    0.000    0.000    0.060    0.060 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/backend_bases.py:1950(print_figure)
       21    0.000    0.000    0.059    0.003 /usr/local/anaconda3/lib/python3.7/multiprocessing/util.py:170(__call__)
        1    0.000    0.000    0.059    0.059 /usr/local/anaconda3/lib/python3.7/multiprocessing/pool.py:597(_terminate_pool)
        1    0.000    0.000    0.059    0.059 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/backends/backend_agg.py:468(print_png)
        4    0.000    0.000    0.058    0.015 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/axis.py:1177(draw)
        1    0.000    0.000    0.054    0.054 /usr/local/anaconda3/lib/python3.7/multiprocessing/pool.py:156(__init__)
        1    0.000    0.000    0.051    0.051 /usr/local/anaconda3/lib/python3.7/multiprocessing/pool.py:588(_help_stuff_finish)
        1    0.051    0.051    0.051    0.051 {method 'acquire' of '_multiprocessing.SemLock' objects}
        1    0.000    0.000    0.045    0.045 /usr/local/anaconda3/lib/python3.7/multiprocessing/pool.py:231(_repopulate_pool)
        1    0.001    0.001    0.045    0.045 /usr/local/anaconda3/lib/python3.7/multiprocessing/pool.py:240(_repopulate_pool_static)
       20    0.001    0.000    0.043    0.002 /usr/local/anaconda3/lib/python3.7/multiprocessing/process.py:101(start)
       20    0.001    0.000    0.042    0.002 /usr/local/anaconda3/lib/python3.7/multiprocessing/context.py:274(_Popen)
       20    0.000    0.000    0.040    0.002 /usr/local/anaconda3/lib/python3.7/multiprocessing/popen_fork.py:16(__init__)
       20    0.001    0.000    0.039    0.002 /usr/local/anaconda3/lib/python3.7/multiprocessing/popen_fork.py:67(_launch)
       20    0.034    0.002    0.037    0.002 {built-in method posix.fork}
       12    0.000    0.000    0.037    0.003 /usr/local/anaconda3/lib/python3.7/site-packages/numpy/lib/npyio.py:449(save)
        1    0.000    0.000    0.032    0.032 /usr/local/anaconda3/lib/python3.7/site-packages/matplotlib/pyplot.py:2809(plot)
